 2022-12-21 20:36:16,767 - 't'
 2022-12-21 20:36:16,837 - 'h'
 2022-12-21 20:36:16,972 - 'e'
 2022-12-21 20:36:17,136 - 'k'
 2022-12-21 20:36:17,336 - 'd'
 2022-12-21 20:36:17,557 - 'i'
 2022-12-21 20:36:17,736 - 'o'
 2022-12-21 20:36:17,976 - 'f'
 2022-12-21 20:36:18,268 - 'n'
 2022-12-21 20:36:18,428 - 'd'
 2022-12-21 20:36:18,587 - 'o'
 2022-12-21 20:36:18,732 - 'o'
 2022-12-21 20:36:18,877 - 's'
 2022-12-21 20:36:19,056 - 'n'
 2022-12-21 20:36:19,168 - 'n'
 2022-12-21 20:36:19,186 - 'f'
 2022-12-21 20:36:19,397 - 'i'
 2022-12-21 20:36:19,397 - 'o'
 2022-12-21 20:36:19,843 - 'j'
 2022-12-21 20:36:20,037 - 'f'
 2022-12-21 20:36:20,197 - 'h'
 2022-12-21 20:36:20,357 - 'h'
 2022-12-21 20:36:20,496 - 'e'
 2022-12-21 20:36:20,522 - 'r'
 2022-12-21 20:36:20,696 - 'b'
 2022-12-21 20:36:20,698 - Key.space
 2022-12-21 20:36:20,946 - 'n'
 2022-12-21 20:36:21,056 - 'c'
 2022-12-21 20:36:21,276 - 'm'
 2022-12-21 20:36:21,408 - 'm'
 2022-12-21 20:36:21,546 - 'd'
 2022-12-21 20:36:21,877 - 'c'
 2022-12-21 20:36:22,067 - 'i'
 2022-12-21 20:36:22,228 - 'i'
 2022-12-21 20:36:22,379 - 'f'
 2022-12-21 20:36:22,678 - 'm'
 2022-12-21 20:36:22,858 - 'e'
 2022-12-21 20:36:22,986 - 'l'
 2022-12-21 20:36:23,142 - 'l'
 2022-12-21 20:36:23,311 - 'f'
 2022-12-21 20:36:23,466 - 'o'
 2022-12-21 20:36:23,597 - 'o'
 2022-12-21 20:36:23,720 - 'c'
 2022-12-21 20:36:23,876 - 'n'
 2022-12-21 20:36:24,016 - 'd'
 2022-12-21 20:36:24,162 - Key.space
 2022-12-21 20:36:24,301 - Key.space
 2022-12-21 20:36:24,467 - 'f'
 2022-12-21 20:36:25,606 - 'm'
 2022-12-21 20:36:25,826 - 'd'
 2022-12-21 20:36:26,125 - 'p'
 2022-12-21 20:36:26,348 - 'p'
 2022-12-21 20:36:26,488 - 'p'
 2022-12-21 20:36:26,639 - 'w'
 2022-12-21 20:36:26,777 - 'o'
 2022-12-21 20:36:26,937 - 'w'
 2022-12-21 20:36:27,279 - 'c'
 2022-12-21 20:36:27,427 - Key.space
 2022-12-21 20:36:27,637 - 'n'
 2022-12-21 20:36:27,787 - 'd'
 2022-12-21 20:36:27,997 - 'i'
 2022-12-21 20:36:28,287 - 'i'
 2022-12-21 20:36:28,677 - 'j'
 2022-12-21 20:36:28,796 - 'e'
 2022-12-21 20:36:28,987 - 'j'
 2022-12-21 20:36:29,177 - 'd'
